date,net_pnl,transaction_cost,portfolio_value,leaders_pnl,stock_dip_pnl,index_dip_pnl,weight_leaders,weight_stock_dip,weight_index_dip,invested_weight,cash_weight,n_leaders,n_dips,top_holding,in_regime,daily_return
2019-10-30,525.9350336527126,39.821392647858964,155927.5553656583,296.32756861177603,120.54135049162419,145.97229703340403,0.6,0.0625,0.19374824607866448,0.8562482460786643,0.14375175392133566,3,1,MSFT,True,0.0033843600377466213
2019-10-31,22.187699792961844,39.95616257778379,155949.74306545127,54.0056809842187,0.0,0.0,0.6,0.0,0.0,0.6,0.4,3,0,AAPL,True,0.00014229492497929902
2019-11-01,1784.0124656552146,62.3798972261805,157733.7555311065,1846.392362881395,0.0,0.0,0.6,0.0,0.0,0.6,0.4,3,0,AAPL,True,0.011439662743826863
2019-11-04,1663.5708707016772,0.0,159397.32640180818,1655.3394940268718,0.0,0.0,0.6,0.0,0.0,0.6,0.4,3,0,AAPL,True,0.01054670171961769
2019-11-05,-225.5679484029127,0.0,159171.75845340526,-217.25084292930484,0.0,0.0,0.6,0.0,0.0,0.6,0.4,3,0,AAPL,True,-0.0014151300620582673
2019-11-06,-232.13317635802125,0.0,158939.62527704725,-240.43959558584936,0.0,-0.0,0.6,0.0,0.0,0.6,0.4,3,0,AAPL,True,-0.0014583816790965098
2019-11-07,658.0042906645069,9.933726579815453,159597.62956771176,719.5343206562001,-58.593710603504356,0.0,0.6,0.0625,0.0,0.6625,0.3375,3,1,AAPL,True,0.004139963772517655
2019-11-08,493.64168628299996,0.0,160091.27125399475,471.44716532436064,22.194520958639316,0.0,0.6,0.0625,0.0,0.6625,0.3375,3,1,AAPL,True,0.003093038960666799
2019-11-11,243.58189859500698,0.0,160334.85315258976,308.1075325579899,-64.5256339629829,-0.0,0.6,0.0625,0.0,0.6625,0.3375,3,1,AAPL,True,0.0015215189228433895
2019-11-12,530.7984803530748,10.02092832203686,160865.65163294284,532.4544756816217,0.0,0.0,0.6,0.0,0.0,0.6,0.4,3,0,AAPL,True,0.003310562051333386
2019-11-13,1069.2774123356664,0.0,161934.92904527852,1069.2774123356664,0.0,0.0,0.6,0.0,0.0,0.6,0.4,3,0,AAPL,True,0.0066470212968490205
2019-11-14,749.5857063774664,10.120933065329908,162684.51475165598,656.0640386800843,96.5151831110783,-0.0,0.6,0.0625,0.0,0.6625,0.3375,3,1,AAPL,True,0.004628931576385693
2019-11-15,1059.66183079782,0.0,163744.1765824538,983.8724615536048,82.94884554211792,0.0,0.6,0.0625,0.0,0.6625,0.3375,3,1,AAPL,True,0.00651359984947205
2019-11-18,1328.317237536929,20.468022072806725,165072.49381999072,1371.0615960526134,-36.690436494148145,0.0,0.6,0.0625,0.0,0.6624999999999999,0.33750000000000013,3,1,AAPL,True,0.008112149483789742
2019-11-19,781.3243898288454,0.0,165853.81820981955,1076.276997070731,-287.68898707705154,0.0,0.6,0.0625,0.0,0.6624999999999999,0.33750000000000013,3,1,AAPL,True,0.00473321976149987
2019-11-20,-1077.582460408966,20.731727276227446,164776.23574941058,-695.5048522113801,-365.9415174280259,-0.0,0.6,0.1875,0.0,0.7874999999999999,0.21250000000000013,3,3,AAPL,True,-0.0064971821091615155
2019-11-21,-1375.0606994598,10.298514734338161,163401.17504995078,-1349.9825418406742,-14.779642884787496,-0.0,0.6,0.125,0.0,0.725,0.275,3,2,AAPL,True,-0.008345018280129747
2019-11-22,-332.4365270949248,0.0,163068.73852285586,-313.91018454677044,-24.384924443680596,0.0,0.6,0.125,0.0,0.725,0.275,3,2,AAPL,True,-0.0020344806394036086
2019-11-25,1444.5300816256201,20.38359231535698,164513.26860448148,1464.913673940977,0.0,0.0,0.6,0.0,0.0,0.6,0.4,3,0,AAPL,True,0.008858412070337772
2019-11-26,-700.2902575976818,10.282079287780093,163812.97834688378,-743.0485973837542,53.04041907385245,0.0,0.6,0.0625,0.0,0.6625,0.3375,3,1,AAPL,True,-0.004256740283249137
2019-11-27,968.1682548141283,30.71493344004071,164781.14660169792,851.9931909694608,135.1448352340173,0.0,0.6,0.125,0.0,0.7249999999999999,0.27500000000000013,3,2,AAPL,True,0.005910204823722661
2019-11-29,-633.0428847781965,0.0,164148.10371691972,-490.38252806884594,-142.66035670935057,-0.0,0.6,0.125,0.0,0.7249999999999999,0.27500000000000013,3,2,AAPL,True,-0.0038417191398016012
2019-12-02,-2600.0385621102164,75.91849796907536,161548.0651548095,-1862.9809195185633,-665.6851464523454,-0.0,0.6,0.1875,0.0,0.7874999999999999,0.21250000000000013,3,3,NVDA,True,-0.015839589390530467
2019-12-03,-1295.5318313664113,10.096754072175594,160252.5333234431,-685.5738478936555,-596.7035267978707,-0.0,0.6,0.25,0.0,0.8499999999999999,0.15000000000000013,3,4,NVDA,True,-0.00801948219017615
2019-12-04,1541.4398312885025,10.01578333271519,161793.9731547316,1211.3546486739695,335.6628500432743,0.0,0.6,0.1875,0.0,0.7874999999999999,0.21250000000000013,3,3,AAPL,True,0.009618817246260705
2019-12-05,312.80186835268137,20.22424664434145,162106.77502308428,309.50466342616534,19.041230135435793,0.0,0.6,0.1875,0.0,0.7875,0.21250000000000002,3,3,AAPL,True,0.0019333344886310038
2019-12-06,1317.8058051722044,20.263346877885535,163424.5808282565,1167.8275910869284,170.24156096316156,0.0,0.6,0.0625,0.0,0.6625,0.3375,3,1,AAPL,True,0.008129245708481626
2019-12-09,-917.2912271714976,0.0,162507.289601085,-1038.5245047492665,114.04685464231908,-0.0,0.6,0.0625,0.0,0.6625,0.3375,3,1,AAPL,True,-0.005612933027103691
2019-12-10,836.0786969034878,77.19096256051537,163343.3682979885,895.2362932565993,47.97482905421681,-29.941462846812975,0.6,0.1875,0.22499999999999998,1.0124999999999997,-0.012499999999999734,3,3,AMD,True,0.005144868879149072
2019-12-11,1091.772813466497,0.0,164435.14111145498,818.6483057737637,79.22589783226898,193.89860986046432,0.6,0.1875,0.22499999999999998,1.0124999999999997,-0.012499999999999734,3,3,AMD,True,0.0066839126977886725
2019-12-12,3770.4088716880015,57.55229938900924,168205.549983143,3738.3865112620147,75.11482132486368,0.0,0.6,0.0625,0.0,0.6625,0.3375,3,1,AAPL,True,0.022929459276179894
2019-12-13,-760.9339624156777,10.512846873946437,167444.61602072732,-732.8951400290356,0.0,0.0,0.6,0.0,0.0,0.6,0.4,3,0,AAPL,True,-0.004523833859774163
2019-12-16,1924.3720078788167,20.930577002590912,169368.98802860614,1727.187443995283,206.11741566316778,0.0,0.6,0.125,0.0,0.7249999999999999,0.27500000000000013,3,2,AMD,True,0.011492588138161492
2019-12-17,642.6181754272618,21.171123503575767,170011.6062040334,873.3402088630014,-206.2420602051132,0.0,0.6,0.25,0.0,0.8499999999999999,0.15000000000000013,3,4,AMD,True,0.003794190323193787
2019-12-18,-341.0696467146838,0.0,169670.5365573187,-274.46621740230967,-73.24710286470128,0.0,0.6,0.25,0.0,0.8499999999999999,0.15000000000000013,3,4,AMD,True,-0.0020061550757032504
2019-12-19,1900.5008251225292,33.934107311463734,171571.03738244122,1340.7618600553521,590.3587631608324,0.0,0.6,0.25,0.0,0.8500000000000001,0.1499999999999999,3,5,NVDA,True,0.011201124624725256
2019-12-20,1775.9048827240986,47.18203528017133,173346.94226516533,1554.9928329317731,268.0940850724966,0.0,0.6,0.125,0.0,0.7249999999999999,0.27500000000000013,3,2,AMD,True,0.01035084306662732
2019-12-23,1512.9008400086032,21.668367783145662,174859.84310517393,1519.608711590215,14.960496201533708,0.0,0.6,0.125,0.0,0.7249999999999999,0.27500000000000013,3,2,AAPL,True,0.008727588847193792
2019-12-24,819.6293821521278,0.0,175679.47248732607,832.0588807256452,-18.69075597637688,0.0,0.6,0.125,0.0,0.7249999999999999,0.27500000000000013,3,2,AAPL,True,0.004687350552288559
2019-12-26,1122.9612078143898,21.95993406091576,176802.43369514047,848.8662138686095,289.76514087819663,0.0,0.6,0.125,0.0,0.7249999999999999,0.27500000000000013,3,2,AAPL,True,0.006392102571320066
2019-12-27,-732.6665125037132,22.10030421189256,176069.76718263674,-701.3601456156966,0.0,-0.0,0.6,0.0,0.0,0.6,0.4,3,0,AAPL,True,-0.004143984317359829
2019-12-30,-957.9970265099527,0.0,175111.7701561268,-967.1661329899732,0.0,-0.0,0.6,0.0,0.0,0.6,0.4,3,0,AAPL,True,-0.005441008083552611
