date,portfolio_value,daily_return
2023-02-13,266104.44444750453,0.01679019740630361
2023-02-14,266163.05531919183,0.00022025514007850688
2023-02-15,266153.5428215029,-3.5739361638809086e-05
2023-02-16,263680.5010771189,-0.00929178592990787
2023-02-17,262509.34021938697,-0.004441590686257935
2023-02-21,259298.88076808988,-0.012229886557994507
2023-02-22,258670.7646605531,-0.002422363357975854
2023-02-23,260178.35391232598,0.005828216628003036
2023-02-24,258547.38828801963,-0.006268644565473491
2023-02-27,259524.50553488376,0.003779257850307971
2023-02-28,259391.02625202975,-0.000514322462839889
2023-03-01,256709.06976105267,-0.01033943436567164
2023-03-02,258584.7341440283,0.007306576213772065
2023-03-03,263192.78003605234,0.017820254963146542
2023-03-06,262372.19205705606,-0.0031178210089345404
2023-03-07,260111.591658724,-0.008616006066071491
2023-03-08,262974.4370439635,0.011006219934233785
2023-03-09,258669.84580338295,-0.016368858087377314
2023-03-10,254531.39229297196,-0.015998979307223382
2023-03-13,255586.25827518335,0.004144345311234643
2023-03-14,258588.91728935958,0.011748123840614966
2023-03-15,259196.17943935038,0.002348368817799207
2023-03-16,264368.2206494391,0.019954156813869695
2023-03-17,263313.1551078169,-0.003990893985027166
2023-03-20,265091.2405466973,0.0067527406222918085
2023-03-21,266707.9087661949,0.006098535040854447
2023-03-22,266132.2217812775,-0.0021584923656015054
2023-03-23,271260.3206590584,0.019268989089173294
2023-03-24,271797.879389936,0.001981707938601307
2023-03-27,272026.4660515032,0.0008410170899062486
2023-03-28,270997.0507046952,-0.0037842470320996746
2023-03-29,273810.46428962226,0.01038171292865031
2023-03-30,275489.6770831343,0.006132756094141989
2023-03-31,278849.2054923156,0.012194752430478406
2023-04-03,280026.7056801311,0.004222713081561746
2023-04-04,279257.2632167629,-0.0027477467247252196
2023-04-05,276481.3007092559,-0.009940520348623028
2023-04-06,277774.7690307245,0.004678321167292054
2023-04-10,278810.2505636596,0.003727773895909836
2023-04-11,277396.4674285553,-0.005070771724662526
2023-04-12,274499.7906413778,-0.01044237085651989
2023-04-13,278699.58115885005,0.01529979497492251
2023-04-14,278844.1353464948,0.0005186738603757401
2023-04-17,277471.8896685185,-0.004921192537440722
2023-04-18,278748.9217664545,0.00460238368456567
2023-04-19,277349.2548435748,-0.005021246051858941
2023-04-20,275145.9949677224,-0.007943990608862528
2023-04-21,274698.6165619189,-0.0016259673554613885
2023-04-24,274409.7874641509,-0.0010514399431017507
2023-04-25,268878.0974650703,-0.02015850108773276
2023-04-26,271857.8381205995,0.011082124887157319
2023-04-27,283630.51490157214,0.043304533216180996
2023-04-28,286115.6315715887,0.008761809958561573
2023-05-01,288201.0960906776,0.007288887040647785
2023-05-02,285036.7377237374,-0.010979688869554582
2023-05-03,281688.02115657943,-0.011748368276666032
2023-05-04,281954.14643313014,0.0009447518409126943
2023-05-05,286419.0847764551,0.015835689596371827
2023-05-08,289582.2033094199,0.011043672370622648
2023-05-09,288775.76149745117,-0.002784845901276145
2023-05-10,290905.96559793345,0.00737667209130044
2023-05-11,292337.57998745574,0.004921227333993361
2023-05-12,290574.2688425141,-0.006031763501009091
2023-05-15,292305.33580818266,0.005957399368375471
2023-05-16,293408.1528582845,0.003772825586822348
2023-05-17,297421.74007608026,0.013679194591891042
2023-05-18,306313.7809506229,0.029897077706115605
2023-05-19,304479.90157821466,-0.005986930678459679
2023-05-22,304769.8120498172,0.0009521497809865664
2023-05-23,302077.6542837034,-0.008833413480183183
2023-05-24,303190.8944995201,0.0036852782720933064
2023-05-25,318272.3062275193,0.049742297679797653
2023-05-26,325474.55593477585,0.022629206394438883
2023-05-30,328066.28439317347,0.007962921866362382
2023-05-31,325291.08357563143,-0.008459268597732716
2023-06-01,330276.928748376,0.0153273342691711
2023-06-02,329878.93105633603,-0.0012050423671682298
2023-06-05,330217.389710473,0.0010260087028084452
2023-06-06,329472.40054592676,-0.002256056730384315
