date,equity,spot,vix,realised_vol,vrp,in_position,book_value,delta,gamma,vega,theta,hedge_shares,delta_pnl,gamma_pnl,vega_pnl,theta_pnl,residual_pnl,interest,costs,action,portfolio_value,daily_return,in_regime
2021-09-22,200378.23972666275,410.53,20.87,10.864722158919742,10.00527784108026,True,5308.658128619082,0.0,-43.342696422526274,-334.1375593758523,443.14244015947264,-499.3892144564778,0.0,-288.48225783763905,1268.4394536486682,500.8539962437359,-3.9022110774685643,0.0,4.973168813242643,,200378.23972666275,0.007400146617760006,True
2021-09-23,200939.82802677283,415.51,18.63,11.541628047073482,7.088371952926517,True,2250.840335130479,0.0,-44.84675206892221,-276.63809595111996,372.2145824745842,-276.2608809558612,0.0,-537.4581041786142,748.4681330019098,443.14244015947264,-83.29296348743378,0.0,9.271205385284121,,200939.82802677283,0.002802641149438845,True
2021-09-24,201494.67432757694,416.2,17.75,11.20863864218274,6.5413613578172605,True,1503.5133003763149,0.0,-43.756732591340125,-221.15959191734035,330.56428804800146,-231.5533823853916,0.0,-10.675769330006862,243.4415244369853,372.2145824745842,-48.273310686941954,0.0,1.8607260905029446,,201494.67432757694,0.0027612559752474564,True
2021-09-27,202388.35333730504,415.01,18.76,10.92390182664884,7.836098173351161,True,885.0196000937752,0.0,-46.950179058504155,-124.6853992471413,393.1428973064018,-222.80141031122616,-0.0,-30.981954511298255,-223.3711878365141,991.6928641440044,156.70250352496316,0.0,0.3632155930499392,,202388.35333730504,0.004435248786155199,True
2021-09-28,200267.99959264474,406.64,23.25,13.178513409386975,10.071486590613025,True,4849.0198865699485,0.0,-65.29300855660662,-137.54568237013734,810.262091289542,-744.1781191709205,-0.0,-1644.5919996418615,-559.8374426196642,393.1428973064018,-287.86593721608506,0.0,21.201262489070608,,200267.99959264474,-0.010476658906980019,True
2021-09-29,201283.1656652448,407.33,22.56,12.794067529512992,9.765932470487007,True,3320.367143879439,0.0,-94.97003305404057,-97.39252251623856,1109.38509744782,-744.2706206439568,0.0,-15.543000686900104,94.90652083539494,810.262091289542,125.54422902453916,0.0,0.0037678625011896456,,201283.1656652448,0.005069037862588832,True
2021-09-30,200048.87607897221,402.35,23.14,13.284101592330597,9.855898407669404,True,10190.128128680997,4.3298697960381105e-13,-31.467675742061857,-936.5719910879949,373.6599232187056,0.0,-0.0,-1177.6474038766955,-56.487663059418544,1109.38509744782,-611.3078928186669,0.0,498.2317239656071,expire+sell,200048.87607897221,-0.006132105395864729,True
2021-10-01,201842.05479991884,407.13,21.15,13.682820150035518,7.467179849964481,True,8390.751223018875,0.0,-32.5205868500193,-874.5811709288893,328.1030242551843,152.2409234270236,2.069677762506205e-12,-359.493021212459,1863.7782622651116,373.6599232187056,-78.56825860923823,0.0,6.198184715484412,,201842.05479991884,0.008963703051442007,True
2021-10-04,200879.7672935646,401.88,22.96,14.181983145856153,8.778016854143848,True,8520.750999713697,-7.105427357601002e-15,-32.84250256651305,-834.157497503231,383.2998438396203,-17.795813511079814,-0.0,-448.1743375268285,-1582.9919193812916,984.309072765553,117.5925594558712,-26.189445283469542,6.8334363840684995,,200879.7672935646,-0.004767527299046503,True
2021-10-05,202320.05552584233,406.06,21.3,14.33241868136211,6.96758131863789,True,7026.5672039389965,1.4210854715202004e-14,-33.65708044402085,-777.2394611635781,343.17106415506396,119.54920408171927,-2.9700686354772236e-14,-286.91867092157224,1384.7014458553635,383.2998438396203,-61.28532347502505,26.067968763718333,5.577031784373199,,202320.05552584233,0.007169901935285106,True
2021-10-06,202836.86774794836,407.75,21.0,13.989717213516753,7.010282786483247,True,6709.4355215326605,0.0,-33.75592239443222,-742.663680406024,336.46628712688,177.36931930937757,2.4016344468691354e-14,-48.06399372808385,233.17183834907397,343.17106415506396,-9.109071471612765,0.0,2.3576151984077676,,202836.86774794836,0.0025544290246599655,True
2021-10-07,203968.3765157736,411.28,19.54,13.975035999528194,5.5649640004718055,True,6199.007543871687,0.0,-33.91973063114936,-675.7436171292701,295.7009557338433,299.74110976410014,0.0,-210.31458668238696,1084.2889733927957,336.46628712688,-73.89899901421677,0.0,5.032906997821829,,203968.3765157736,0.005578417673217428,True
2021-10-08,204747.82922730883,410.53,18.77,13.567842046326787,5.202157953673213,True,5193.749528691173,0.0,-34.59339755565124,-629.6130473886818,277.35040529556954,275.39523194272203,-0.0,-9.539924240010759,520.3225851895377,295.7009557338433,-26.031433825931117,0.0,0.9994713222010354,,204747.82922730883,0.0038214390134883036,True
